Company,SuccessRate
AEB,0.0
AMBA,0.5
ASI,1.0
Arianespace,0.962457337883959
Armée de l'Air,0.75
Astra,0.2857142857142857
Blue Origin,1.0
Boeing,0.9632352941176471
CAS Space,1.0
CASC,0.9406528189910979
CASIC,0.6666666666666666
CECLES,0.25
CNES,0.75
Douglas,1.0
EER,0.0
ESA,0.7142857142857143
Eurockot,0.9230769230769231
ExPace,0.8
Exos,0.0
Firefly,0.0
GK LS,1.0
Galactic Energy,1.0
General Dynamics,0.8087649402390438
IAI,0.8181818181818182
ILS,0.9782608695652174
IRGC,1.0
ISA,0.3333333333333333
ISAS,0.8666666666666667
ISRO,0.8292682926829268
JAXA,0.875
KARI,0.4
KCST,0.4
Khrunichev,1.0
Kosmotras,0.9545454545454546
Land Launch,0.8571428571428571
Landspace,0.0
Lockheed,0.9367088607594937
MHI,0.9540229885057471
MITT,0.8571428571428571
Martin Marietta,0.8771929824561403
NASA,0.916256157635468
Northrop,0.898876404494382
OKB-586,1.0
OneSpace,0.0
RAE,0.5
RVSN USSR,0.9082723691615081
Rocket Lab,0.8928571428571429
Roscosmos,0.927536231884058
SRC,0.6666666666666666
Sandia,0.0
Sea Launch,0.9166666666666666
SpaceX,0.945054945054945
Starsem,1.0
ULA,0.9933774834437086
US Air Force,0.8012422360248447
US Navy,0.11764705882352941
UT,0.2
VKS RF,0.9351851851851852
Virgin Galactic,0.6666666666666666
Virgin Orbit,0.8
Yuzhmash,1.0
i-Space,0.25
