ID,Current Role,Average Salary (USD),Careers Switch,Industry,Favorite Programming Language,Salary Satisfaction,Work/Balance Satisfaction,Coworkers Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning New Things Satisfaction,Difficulty to Break,Most Important Thing,Gender,Age,Country,Level of Education,Ethnicity
1,Data Analyst,115500.0,Yes,Healthcare and Biotechnology,Python,9.0,9.0,7.0,5.0,5.0,7.0,Very Difficult,Work Environment Preferences,Male,26,United States,Unknown,White or Caucasian
2,Data Analyst,53000.0,No,Finance and Banking,R,1.0,2.0,5.0,2.0,1.0,3.0,Very Difficult,Work Environment Preferences,Male,36,Canada,Unknown,Asian
3,Data Engineer,20000.0,No,Energy and Utilities,Python,0.0,8.0,7.0,5.0,7.0,7.0,Easy,Work-Life Balance,Male,23,Nigeria,Unknown,Black or African American
4,Consultant,187500.0,Yes,Finance and Banking,R,10.0,6.0,7.0,10.0,7.0,10.0,Very Easy,Work Environment Preferences,Female,35,Canada,Unknown,White or Caucasian
5,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,R,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,Compensation and Benefits,Male,44,United States,Unknown,Black or African American
6,Data Analyst,20000.0,Yes,Construction and Real Estate,Python,2.0,3.0,3.0,3.0,3.0,2.0,Difficult,Work-Life Balance,Male,33,Democratic Republic of the Congo,Unknown,Black or African American
7,Data Scientist,20000.0,Yes,Finance and Banking,Python,0.0,6.0,6.0,6.0,6.0,5.0,Difficult,Compensation and Benefits,Male,24,Other,Unknown,Black or African American
8,Data Engineer,137500.0,Yes,Retail and E-commerce,SQL,10.0,5.0,5.0,5.0,5.0,9.0,Neither easy nor difficult,Work Environment Preferences,Male,35,United States,Unknown,Asian
9,Data Analyst,95500.0,Yes,Healthcare and Biotechnology,R,4.0,4.0,4.0,4.0,5.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,35,United States,Unknown,Asian
10,Data Analyst,53000.0,Yes,Telecommunications,Python,2.0,0.0,3.0,3.0,0.0,4.0,Very Difficult,Compensation and Benefits,Male,28,United States,Unknown,Hispanic or Latino
11,Data Analyst,75500.0,Yes,Logistics and Distribution,Python,10.0,10.0,8.0,8.0,8.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,37,Canada,Unknown,White or Caucasian
12,Data Analyst,20000.0,Yes,Technology and Entertainment,Python,3.0,8.0,10.0,10.0,7.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,32,Serbia,Unknown,White or Caucasian
13,Data Analyst,20000.0,Yes,Technology and Information Technology,R,1.0,10.0,9.0,9.0,5.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,34,Argentina,Unknown,Hispanic or Latino
14,Data Scientist,20000.0,Yes,Education,Python,3.0,10.0,10.0,6.0,7.0,8.0,Easy,Work-Life Balance,Male,30,United Kingdom,Unknown,White or Caucasian
15,Data Analyst,53000.0,No,Construction and Real Estate,R,4.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Work Environment,Male,31,United States,Unknown,White or Caucasian
16,Data Analyst,53000.0,Yes,Finance and Banking,Python,4.0,10.0,7.0,7.0,7.0,5.0,Difficult,Work Environment,Male,29,United States,Unknown,White or Caucasian
17,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,1.0,2.0,4.0,2.0,2.0,2.0,Neither easy nor difficult,Compensation and Benefits,Male,22,Niger,Unknown,Black or African American
18,None,20000.0,Yes,Retail and E-commerce,Python,1.0,3.0,2.0,2.0,4.0,1.0,Difficult,Compensation and Benefits,Male,23,United States,Unknown,Black or African American
19,None,53000.0,No,Technology and Information Technology,R,7.0,8.0,8.0,6.0,8.0,3.0,Very Difficult,Compensation and Benefits,Female,26,Canada,Unknown,Asian
20,Data Analyst,20000.0,No,Aerospace and Defense,Python,1.0,1.0,1.0,1.0,2.0,0.0,Very Difficult,Compensation and Benefits,Male,28,Nigeria,Unknown,Black or African American
21,Data Analyst,53000.0,Yes,Finance and Banking,Python,5.0,5.0,5.0,5.0,5.0,5.0,Easy,Work Environment Preferences,Male,29,Kenya,Unknown,Black or African American
22,Data Analyst,115500.0,Yes,Technology and Information Technology,SQL,10.0,5.0,10.0,6.0,10.0,10.0,Neither easy nor difficult,Work Environment Preferences,Female,31,United States,Unknown,White or Caucasian
23,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,5.0,6.0,8.0,8.0,7.0,1.0,Neither easy nor difficult,Work Environment Preferences,Male,28,Azerbaijan,Unknown,White or Caucasian
24,Data Analyst,20000.0,No,Finance and Banking,Python,4.0,4.0,4.0,4.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,32,Argentina,Unknown,Hispanic or Latino
25,Data Analyst,20000.0,No,Technology and Information Technology,Python,7.0,8.0,8.0,8.0,3.0,8.0,Easy,Compensation and Benefits,Male,24,Sudan,Unknown,Black or African American
26,Data Analyst,20000.0,No,Technology and Information Technology,Python,4.0,6.0,6.0,6.0,7.0,7.0,Easy,Work-Life Balance,Male,31,India,Unknown,Asian
27,Data Analyst,75500.0,No,Finance and Insurance,SQL,7.0,10.0,5.0,5.0,5.0,2.0,Difficult,Job Role and Responsibilities,Male,23,United States,Unknown,White or Caucasian
28,Data Analyst,115500.0,Yes,Energy and Utilities,Python,1.0,6.0,9.0,1.0,0.0,2.0,Difficult,Work Environment Preferences,Female,33,United States,Unknown,Asian
29,Data Analyst,95500.0,No,Healthcare and Biotechnology,None,6.0,7.0,7.0,7.0,7.0,4.0,Very Easy,Compensation and Benefits,Male,43,United States,Unknown,White or Caucasian
30,None,20000.0,Yes,Energy and Utilities,R,0.0,0.0,5.0,0.0,0.0,0.0,Very Difficult,Work Environment Preferences,Female,23,Nigeria,Unknown,African
31,None,53000.0,Yes,Finance and Banking,Python,10.0,7.0,10.0,10.0,5.0,3.0,Very Difficult,Work-Life Balance,Male,31,United States,Unknown,Black or African American
32,Data Analyst,75500.0,Yes,Finance and Banking,Python,5.0,6.0,7.0,5.0,4.0,4.0,Neither easy nor difficult,Career Progression,Male,31,United Kingdom,Unknown,White or Caucasian
33,Data Analyst,20000.0,Yes,Other,Python,8.0,7.0,8.0,7.0,7.0,7.0,Difficult,Work-Life Balance,Male,25,India,Unknown,Asian
